concept,color,rating
banana,#DC143C,1
sad,#228B22,3
happy,#FFD700,0
sad,#800000,1
safety,#FF9999,3
peach,#0000CD,1
angry,#FFC299,28
angry,#DC143C,98
lightning,#FFD700,100
peach,#FF9999,98
happy,#008080,5
lightning,#CC9966,4
sad,#6699CC,3
peace,#400080,1
lightning,#66CC66,1
sad,#66CCCC,58
banana,#228B22,49
sick,#66CC66,97
safety,#608000,1
sick,#FFFFFF,4
sad,#DFFF99,5
banana,#666666,3
mango,#9966CC,2
safety,#99C2FF,3
tree,#000000,2
sandstorm,#0000CD,1
happy,#99FF99,1
peach,#66CC66,2
peach,#FFFFFF,4
safety,#6699CC,3
safety,#FFD700,95
death,#000000,99
peace,#008080,1
banana,#ADFF2F,0
lightning,#008080,1
tree,#608000,100
death,#9966CC,3
lightning,#DFFF99,100
peace,#99FF99,3
sandstorm,#333333,1
lightning,#808000,81
peach,#333333,1
tree,#CC6666,0
happy,#00CED1,2
mango,#800080,3
tree,#808000,2
banana,#FFC299,0
peace,#CCCC66,1
peach,#800000,1
peach,#FFC299,100
tree,#6699CC,2
safety,#004D00,1
lightning,#CC6666,2
safety,#9966CC,2
mango,#804000,2
safety,#CC9966,1
happy,#CC6666,99
sad,#66CC66,2
angry,#99FFFF,1
lightning,#ADFF2F,79
justice,#00CED1,0
sad,#FFD700,4
justice,#99FFFF,2
sick,#99FF99,75
sad,#008080,86
mango,#400080,1
mango,#CC9966,1
mango,#C299FF,3
tree,#C299FF,3
tree,#66CC66,98
sandstorm,#FF4500,0
justice,#CCCC66,2
peach,#DC143C,82
safety,#99FF99,2
sad,#000000,97
lightning,#800000,0
lightning,#004080,2
tree,#400080,3
safety,#808000,3
death,#804000,79
death,#800080,72
lightning,#C299FF,0
justice,#228B22,2
tree,#800000,0
angry,#CC6666,2
sick,#CC6666,21
mango,#FF4500,2
lightning,#DC143C,2
sick,#008080,2
peace,#999999,2
angry,#FFFF99,2
death,#FFC299,7
sad,#99CC66,0
happy,#004080,0
sick,#0000CD,1
angry,#804000,4
happy,#808000,1
banana,#C299FF,4
tree,#804000,5
banana,#FF9999,0
lightning,#6699CC,1
mango,#008080,1
safety,#C299FF,1
sandstorm,#FFFFFF,2
sandstorm,#6699CC,1
sandstorm,#99FF99,0
angry,#66CC66,3
death,#99FF99,2
justice,#0000CD,5
peace,#FFC299,97
peach,#008080,1
mango,#99C2FF,1
safety,#666666,65
sad,#800080,73
death,#FF9999,0
sandstorm,#FFC299,76
justice,#66CCCC,1
sick,#666666,3
death,#DFFF99,0
sandstorm,#99CC66,3
safety,#FFFFFF,3
justice,#800000,63
mango,#004D00,3
happy,#CC9966,3
banana,#999999,3
happy,#DFFF99,6
banana,#0000CD,7
peach,#00CED1,6
justice,#808000,4
tree,#FFC299,6
banana,#FFFF99,100
peace,#666666,2
sick,#400080,4
banana,#CCCC66,72
sad,#808000,5
banana,#400080,6
sad,#9966CC,7
sick,#DFFF99,8
angry,#C299FF,4
lightning,#333333,4
angry,#808000,3
banana,#99CC66,90
banana,#CC9966,2
happy,#66CC66,3
lightning,#66CCCC,6
sad,#CC9966,3
angry,#66CCCC,4
peach,#CC9966,85
sad,#FF9999,1
justice,#999999,4
mango,#FFD700,100
banana,#808000,6
sandstorm,#608000,8
sad,#CC6666,8
banana,#99FFFF,8
lightning,#400080,5
sandstorm,#808000,4
sad,#999999,91
happy,#66CCCC,8
angry,#FFFFFF,16
sick,#999999,98
death,#FFFFFF,2
peach,#804000,65
tree,#666666,2
tree,#66CCCC,1
angry,#99C2FF,0
peace,#99CC66,1
safety,#FFFF99,86
safety,#804000,2
mango,#FF9999,1
happy,#999999,1
tree,#999999,2
banana,#99FF99,66
angry,#333333,6
death,#FFD700,3
banana,#66CC66,81
mango,#99FF99,0
tree,#FFFFFF,0
justice,#CC9966,2
death,#CCCC66,2
lightning,#99FF99,4
justice,#004080,2
death,#ADFF2F,2
death,#400080,2
tree,#333333,4
peace,#333333,2
death,#99FFFF,2
peace,#FF9999,80
justice,#FFFF99,63
death,#66CC66,0
peace,#00CED1,0
angry,#400080,2
safety,#008080,2
sick,#004080,78
safety,#004080,19
mango,#999999,0
happy,#9966CC,53
sandstorm,#66CCCC,3
peach,#608000,3
angry,#00CED1,1
banana,#00CED1,0
death,#99C2FF,1
mango,#608000,2
sick,#608000,100
justice,#FF9999,0
mango,#CCCC66,72
sick,#6699CC,4
sick,#CC9966,2
angry,#008080,1
peach,#FFFF99,20
justice,#99FF99,5
peach,#004D00,4
sick,#CCCC66,75
banana,#333333,7
banana,#800080,4
happy,#FF9999,95
happy,#666666,0
peach,#808000,4
justice,#FFFFFF,3
peace,#FFFF99,20
justice,#008080,3
safety,#228B22,13
happy,#400080,10
banana,#CC6666,11
happy,#000000,9
sick,#99FFFF,7
justice,#000000,6
peach,#999999,5
peach,#6699CC,5
sandstorm,#000000,6
tree,#DC143C,4
peach,#400080,5
sandstorm,#DC143C,5
justice,#DC143C,4
safety,#ADFF2F,5
sandstorm,#004080,5
death,#808000,6
lightning,#228B22,6
angry,#800000,94
mango,#333333,2
justice,#004D00,2
angry,#99CC66,2
sad,#608000,0
peace,#FFD700,0
death,#C299FF,0
sick,#FFC299,1
death,#004080,0
tree,#99FF99,93
justice,#FFD700,92
tree,#FF4500,7
happy,#608000,7
justice,#99C2FF,3
banana,#FFFFFF,4
lightning,#CCCC66,97
peace,#DFFF99,26
death,#DC143C,98
sad,#804000,18
death,#CC9966,4
lightning,#800080,6
mango,#800000,5
sad,#666666,98
sick,#FF9999,7
banana,#608000,86
mango,#99FFFF,0
lightning,#99C2FF,2
peace,#004080,3
sandstorm,#228B22,0
justice,#800080,0
tree,#800080,0
peace,#99C2FF,0
safety,#DC143C,11
lightning,#666666,2
tree,#FF9999,0
banana,#FF4500,5
angry,#ADFF2F,0
death,#004D00,78
tree,#9966CC,0
peace,#ADFF2F,2
angry,#DFFF99,3
peach,#004080,1
peace,#800000,2
peace,#CC9966,5
justice,#666666,3
peach,#800080,4
safety,#800000,4
peace,#C299FF,3
mango,#FFFF99,98
lightning,#0000CD,1
lightning,#FFFFFF,50
angry,#004080,1
peace,#DC143C,3
tree,#228B22,100
justice,#9966CC,1
sandstorm,#804000,19
peace,#804000,0
angry,#FFD700,2
peach,#FF4500,0
justice,#DFFF99,75
death,#0000CD,1
sad,#FFC299,1
sick,#66CCCC,2
death,#228B22,4
mango,#CC6666,0
peace,#9966CC,4
peace,#66CCCC,1
sad,#400080,98
death,#666666,99
safety,#CCCC66,1
justice,#C299FF,1
sick,#FFD700,0
angry,#0000CD,0
death,#333333,99
tree,#008080,0
sick,#00CED1,2
mango,#99CC66,77
happy,#804000,2
peace,#CC6666,30
justice,#99FF99,33
angry,#00CED1,20
peace,#FF4500,12
sandstorm,#00CED1,9
happy,#99FF99,71
banana,#400080,6
sick,#228B22,15
happy,#FFFFFF,72
safety,#0000CD,72
sick,#66CC66,22
angry,#008080,23
tree,#DC143C,19
mango,#000000,0
peace,#400080,0
angry,#ADFF2F,24
peace,#99C2FF,89
happy,#FF4500,67
death,#FFD700,19
sick,#99C2FF,21
mango,#800080,13
angry,#DC143C,100
mango,#66CCCC,24
peach,#FFFF99,22
justice,#228B22,24
death,#FFFF99,17
mango,#9966CC,12
banana,#99FFFF,19
death,#999999,67
tree,#66CC66,100
death,#800000,62
justice,#800000,6
banana,#FFFFFF,18
peach,#99CC66,8
tree,#FF4500,14
peach,#800000,27
happy,#808000,14
peach,#9966CC,18
justice,#6699CC,84
sick,#6699CC,25
lightning,#66CC66,17
angry,#FF9999,27
sad,#FF4500,27
sandstorm,#666666,62
angry,#66CCCC,26
sad,#008080,25
banana,#FFFF99,74
happy,#666666,32
tree,#99FF99,84
sick,#9966CC,20
sandstorm,#000000,20
peace,#C299FF,22
happy,#333333,22
peace,#008080,20
tree,#228B22,100
banana,#808000,72
angry,#228B22,18
justice,#9966CC,19
sandstorm,#CC9966,85
lightning,#FFD700,100
lightning,#000000,21
peace,#00CED1,61
peach,#400080,0
mango,#800000,3
safety,#DFFF99,39
justice,#804000,19
peach,#004D00,20
sandstorm,#004D00,23
safety,#6699CC,78
safety,#9966CC,26
peach,#6699CC,16
justice,#0000CD,89
mango,#DFFF99,68
lightning,#008080,13
lightning,#808000,16
peach,#333333,16
sandstorm,#99CC66,7
peace,#FFD700,20
justice,#000000,16
death,#00CED1,10
happy,#FF9999,74
lightning,#666666,16
peach,#99C2FF,80
death,#DC143C,68
peace,#0000CD,75
death,#ADFF2F,25
mango,#99C2FF,20
sick,#608000,19
sandstorm,#ADFF2F,19
tree,#ADFF2F,78
tree,#804000,78
death,#004080,16
safety,#99FFFF,26
sick,#FFFFFF,36
death,#804000,23
banana,#ADFF2F,80
peace,#FFFF99,19
justice,#66CCCC,19
angry,#666666,22
mango,#999999,24
sandstorm,#FFFF99,22
lightning,#FFFFFF,29
sad,#CC9966,19
angry,#CCCC66,29
peach,#C299FF,12
sad,#FFFF99,25
mango,#6699CC,26
sandstorm,#CC6666,18
justice,#CC9966,25
sandstorm,#99FF99,4
mango,#CC6666,24
sandstorm,#66CC66,9
lightning,#66CCCC,11
safety,#999999,24
safety,#804000,12
banana,#800000,14
sad,#FFFFFF,32
lightning,#0000CD,34
safety,#228B22,26
happy,#99FFFF,31
lightning,#99FF99,26
lightning,#800080,22
sick,#804000,22
mango,#DC143C,12
sad,#FF9999,20
tree,#FFD700,16
banana,#FFD700,100
banana,#999999,17
angry,#C299FF,23
sick,#800080,78
safety,#800000,21
peace,#FF9999,64
lightning,#004D00,17
sad,#99C2FF,70
sick,#C299FF,70
death,#666666,78
death,#6699CC,25
lightning,#99CC66,20
angry,#9966CC,18
sandstorm,#804000,70
sick,#FFFF99,18
justice,#608000,15
sad,#800000,20
justice,#999999,19
tree,#0000CD,24
peach,#DC143C,94
peace,#99FFFF,88
peace,#66CC66,23
lightning,#CCCC66,57
sick,#333333,81
sick,#66CCCC,28
peach,#0000CD,31
sad,#6699CC,81
sandstorm,#0000CD,26
justice,#CCCC66,27
tree,#800080,14
lightning,#400080,20
sandstorm,#DC143C,32
sandstorm,#DFFF99,32
peach,#808000,26
death,#808000,17
angry,#99FF99,18
angry,#FFFFFF,32
peace,#66CCCC,73
safety,#FF4500,62
sandstorm,#008080,21
lightning,#ADFF2F,24
peach,#228B22,8
peach,#FFFFFF,34
tree,#99FFFF,33
tree,#9966CC,17
death,#CC9966,68
banana,#008080,30
tree,#00CED1,31
sandstorm,#9966CC,23
peach,#800080,30
banana,#DC143C,4
banana,#228B22,53
tree,#FFFFFF,28
happy,#FFD700,86
angry,#DFFF99,27
sick,#CC9966,62
peace,#666666,20
sick,#FFD700,23
sad,#DC143C,18
peach,#66CCCC,91
sick,#CCCC66,69
justice,#99CC66,38
safety,#DC143C,61
sad,#99FF99,20
peace,#DFFF99,17
peace,#DC143C,24
angry,#99CC66,13
lightning,#FF9999,12
safety,#00CED1,69
angry,#0000CD,23
sad,#ADFF2F,19
angry,#6699CC,24
peach,#CCCC66,37
mango,#CC9966,30
happy,#DFFF99,74
tree,#400080,6
lightning,#FF4500,38
angry,#000000,48
happy,#804000,20
banana,#0000CD,4
happy,#6699CC,67
happy,#ADFF2F,71
safety,#99C2FF,92
sick,#FF9999,21
happy,#DC143C,60
death,#99FFFF,32
sandstorm,#FFD700,78
peace,#800080,30
safety,#CC9966,4
peace,#FFC299,60
sad,#CCCC66,25
sad,#FFD700,26
death,#0000CD,26
angry,#400080,23
safety,#FFFFFF,62
peach,#CC6666,92
happy,#800000,25
peace,#808000,21
death,#800080,20
lightning,#00CED1,8
safety,#C299FF,42
justice,#66CC66,63
death,#99C2FF,33
death,#000000,100
sandstorm,#004080,34
tree,#999999,14
peach,#666666,0
tree,#FFC299,5
tree,#DFFF99,86
peach,#804000,29
safety,#FFD700,53
sad,#666666,71
happy,#00CED1,31
justice,#999999,28
lightning,#666666,50
sad,#66CCCC,100
safety,#99C2FF,100
death,#000000,100
safety,#666666,100
peace,#00CED1,100
justice,#004D00,100
peach,#CC6666,50
sad,#999999,100
death,#CC9966,100
tree,#004D00,100
happy,#FFFF99,100
angry,#DC143C,100
justice,#FFD700,74
sandstorm,#FFFFFF,100
happy,#FFD700,100
tree,#99FF99,100
peace,#000000,0
mango,#CC9966,0
angry,#800080,0
death,#400080,0
banana,#800000,0
mango,#FF9999,73
sick,#66CCCC,0
peach,#99FF99,0
sick,#99FF99,86
peace,#99FF99,17
sad,#CC9966,0
safety,#DC143C,100
angry,#66CCCC,0
mango,#C299FF,0
justice,#FFC299,0
happy,#DFFF99,67
sad,#FFD700,0
peach,#FFFF99,0
angry,#228B22,0
sad,#FF9999,0
sandstorm,#FFFFFF,0
justice,#228B22,69
sick,#000000,0
justice,#6699CC,100
tree,#0000CD,0
justice,#FFFF99,0
happy,#6699CC,80
angry,#99FFFF,8
death,#6699CC,66
sandstorm,#808000,77
safety,#00CED1,70
lightning,#FFFFFF,15
sandstorm,#FF9999,0
lightning,#99C2FF,64
tree,#808000,91
peach,#666666,0
sandstorm,#FF4500,0
sick,#004080,23
happy,#666666,0
peace,#00CED1,79
sad,#C299FF,78
angry,#000000,100
lightning,#999999,90
peach,#99C2FF,5
banana,#FF4500,0
peace,#333333,0
sad,#CCCC66,0
justice,#66CC66,58
justice,#FF9999,0
banana,#66CC66,0
death,#FFD700,0
peace,#004080,23
tree,#999999,0
banana,#008080,0
peach,#FF4500,0
peach,#808000,0
mango,#9966CC,0
banana,#808000,0
sick,#C299FF,0
death,#004080,0
banana,#0000CD,0
angry,#008080,0
sandstorm,#999999,0
tree,#66CCCC,0
mango,#004D00,0
banana,#CC6666,0
safety,#66CCCC,0
sad,#DC143C,0
happy,#800000,0
tree,#400080,0
sick,#FF4500,0
peach,#FFD700,0
mango,#FFFFFF,0
sick,#800080,0
sandstorm,#FFFF99,81
lightning,#808000,0
sandstorm,#FFD700,94
lightning,#66CCCC,74
angry,#FFFF99,0
peace,#804000,0
sad,#CC6666,21
justice,#66CCCC,69
justice,#ADFF2F,0
banana,#ADFF2F,0
mango,#FFC299,100
death,#800000,100
sandstorm,#DC143C,0
banana,#400080,0
mango,#004080,0
safety,#400080,0
death,#CC6666,50
mango,#00CED1,0
banana,#99C2FF,0
peach,#ADFF2F,0
sandstorm,#000000,0
peace,#608000,61
tree,#228B22,100
death,#99FFFF,0
angry,#00CED1,0
peace,#004D00,0
justice,#0000CD,100
justice,#808000,0
sick,#CC9966,50
safety,#99CC66,50
peace,#666666,50
safety,#FFFFFF,0
tree,#CC9966,50
safety,#608000,34
death,#999999,37
sick,#99C2FF,50
sandstorm,#FFC299,50
happy,#DC143C,50
sick,#333333,50
sandstorm,#FFFFFF,50
peace,#00CED1,50
lightning,#ADFF2F,50
death,#004080,50
sad,#99FF99,11
safety,#C299FF,62
sandstorm,#400080,23
justice,#800080,46
tree,#CCCC66,30
justice,#333333,24
peace,#99FFFF,75
lightning,#FF9999,13
peace,#6699CC,84
safety,#00CED1,73
death,#FFD700,9
angry,#0000CD,13
death,#FF9999,42
death,#228B22,15
sad,#C299FF,73
peach,#004080,15
sad,#666666,56
peace,#FFFF99,53
peace,#66CCCC,65
angry,#004D00,42
tree,#000000,8
banana,#FFC299,16
lightning,#228B22,20
sad,#800080,39
safety,#FFFFFF,34
peach,#999999,13
happy,#9966CC,37
mango,#999999,13
sandstorm,#228B22,14
peach,#808000,44
mango,#CC6666,15
sick,#608000,78
happy,#99FFFF,49
lightning,#99FF99,44
peace,#608000,34
angry,#99C2FF,15
banana,#FFFF99,54
tree,#99FFFF,29
peace,#FF4500,9
safety,#DC143C,27
sad,#FFC299,25
death,#608000,14
peace,#66CC66,72
peace,#808000,33
mango,#000000,6
sandstorm,#CC9966,23
sick,#004D00,67
death,#CCCC66,34
happy,#400080,21
safety,#004080,70
lightning,#666666,60
sad,#004D00,35
banana,#CC9966,27
safety,#FFFF99,28
banana,#66CCCC,17
peace,#DC143C,7
peach,#6699CC,6
justice,#CC9966,14
sandstorm,#99C2FF,6
sad,#99CC66,21
peace,#999999,11
happy,#FF9999,68
happy,#FFC299,38
sick,#800000,78
mango,#CCCC66,51
lightning,#004D00,28
sick,#666666,17
peach,#800000,21
happy,#FFD700,90
mango,#008080,36
sad,#CC6666,57
happy,#0000CD,60
death,#008080,48
tree,#CC9966,38
death,#0000CD,26
justice,#CC6666,35
peace,#C299FF,83
lightning,#999999,52
peace,#800000,17
lightning,#C299FF,43
mango,#800080,31
mango,#99CC66,66
peach,#9966CC,30
mango,#FFFF99,65
peach,#CC6666,53
peach,#99C2FF,37
justice,#ADFF2F,20
safety,#804000,42
peace,#004D00,61
sad,#99FFFF,56
peace,#228B22,82
banana,#6699CC,23
peace,#99CC66,68
safety,#000000,4
peace,#000000,3
banana,#FF4500,15
sad,#CCCC66,7
justice,#008080,78
banana,#FFD700,97
sick,#00CED1,82
angry,#CCCC66,33
banana,#608000,37
peach,#CC9966,42
tree,#FFFF99,24
peach,#DFFF99,53
lightning,#6699CC,56
sick,#000000,17
happy,#CCCC66,34
safety,#800000,21
mango,#804000,14
lightning,#DFFF99,38
banana,#800000,7
sad,#DFFF99,13
peach,#FF4500,13
angry,#FFFF99,7
tree,#FFFFFF,3
justice,#004080,93
peach,#66CCCC,45
peace,#333333,21
justice,#228B22,59
sandstorm,#FFFF99,86
safety,#DFFF99,28
peace,#0000CD,65
banana,#804000,19
death,#400080,25
death,#333333,87
sad,#008080,67
angry,#400080,14
sandstorm,#004D00,32
mango,#608000,27
death,#800080,34
justice,#99CC66,33
angry,#333333,63
sandstorm,#804000,11
peach,#000000,3
lightning,#FFD700,81
lightning,#400080,24
mango,#ADFF2F,56
safety,#228B22,79
peace,#FF9999,78
death,#C299FF,14
sick,#800080,59
sandstorm,#808000,55
angry,#FFFFFF,8
tree,#FFC299,8
death,#99CC66,23
tree,#6699CC,24
mango,#66CC66,59
sad,#66CC66,22
peach,#99CC66,45
safety,#CCCC66,34
sick,#FF9999,36
peace,#FFC299,63
happy,#800000,3
sick,#804000,62
death,#999999,73
angry,#00CED1,0
safety,#800080,41
tree,#004080,17
angry,#66CC66,28
lightning,#FF4500,27
death,#004D00,34
sandstorm,#004080,17
justice,#DFFF99,14
sick,#999999,71
safety,#CC6666,57
mango,#00CED1,36
tree,#999999,6
sandstorm,#FFFFFF,46
banana,#DFFF99,70
lightning,#DC143C,20
peach,#FFFFFF,13
sad,#9966CC,58
angry,#DFFF99,32
happy,#ADFF2F,90
angry,#66CCCC,13
angry,#608000,31
mango,#FFFFFF,5
peach,#333333,0
safety,#99FF99,82
safety,#FFD700,67
safety,#333333,4
lightning,#ADFF2F,95
sad,#6699CC,73
tree,#DC143C,7
sandstorm,#99CC66,22
sandstorm,#66CC66,21
justice,#99FF99,53
sad,#804000,44
lightning,#CC9966,18
tree,#FF4500,3
peach,#666666,3
sick,#99FF99,89
death,#FFC299,59
peach,#800080,23
banana,#400080,8
lightning,#008080,5
banana,#808000,8
sick,#004080,53
tree,#608000,90
lightning,#004080,18
happy,#008080,69
safety,#66CCCC,67
banana,#00CED1,72
banana,#333333,16
tree,#DFFF99,35
sandstorm,#DFFF99,81
sick,#C299FF,75
peace,#FFFFFF,16
peach,#DC143C,38
happy,#FFFFFF,10
peace,#CC6666,67
justice,#00CED1,79
mango,#228B22,73
lightning,#00CED1,31
banana,#CCCC66,83
angry,#004080,18
justice,#800000,48
happy,#66CCCC,72
happy,#99C2FF,76
sad,#608000,36
sick,#333333,60
mango,#C299FF,26
banana,#008080,12
justice,#FFC299,23
sick,#400080,59
happy,#999999,4
angry,#FFD700,7
tree,#0000CD,11
death,#DC143C,84
peach,#FFC299,72
death,#CC9966,64
lightning,#804000,30
safety,#FF9999,40
justice,#400080,89
banana,#99CC66,61
mango,#99FF99,65
angry,#008080,23
sad,#808000,32
mango,#666666,4
lightning,#99C2FF,34
peace,#00CED1,77
sad,#ADFF2F,21
tree,#99FF99,83
peace,#800080,38
happy,#99FF99,66
justice,#DC143C,23
happy,#CC6666,20
peace,#666666,6
peach,#ADFF2F,48
angry,#99CC66,18
sick,#CCCC66,66
peach,#004D00,28
sandstorm,#CCCC66,80
justice,#9966CC,61
angry,#DC143C,77
sick,#99CC66,91
death,#DFFF99,17
mango,#99C2FF,16
sandstorm,#666666,10
justice,#C299FF,32
sandstorm,#FF9999,14
peace,#DFFF99,17
peach,#400080,20
happy,#004D00,71
happy,#66CC66,87
safety,#FF4500,24
sandstorm,#66CCCC,14
lightning,#9966CC,32
safety,#999999,17
banana,#FF9999,18
mango,#808000,72
happy,#666666,15
angry,#804000,31
peace,#804000,17
justice,#000000,85
mango,#66CCCC,71
sandstorm,#99FFFF,23
mango,#FF9999,60
tree,#66CCCC,10
sandstorm,#FFC299,60
justice,#66CC66,39
peach,#CCCC66,73
sad,#228B22,11
mango,#FFD700,73
banana,#99FF99,18
sick,#CC6666,58
sandstorm,#FFD700,65
sandstorm,#608000,28
mango,#004D00,10
justice,#608000,27
banana,#99C2FF,27
tree,#228B22,87
peach,#00CED1,23
justice,#FF4500,76
tree,#800080,22
sick,#99FFFF,79
peach,#99FFFF,71
happy,#00CED1,85
angry,#228B22,11
sad,#999999,60
lightning,#808000,14
tree,#FFD700,25
lightning,#333333,14
justice,#0000CD,78
peach,#004D00,0
mango,#CCCC66,72
happy,#004080,38
angry,#C299FF,55
mango,#804000,61
justice,#DFFF99,64
death,#400080,86
sad,#99FFFF,62
sandstorm,#DC143C,21
sick,#FFFF99,82
lightning,#FFFF99,95
lightning,#999999,60
happy,#333333,10
sad,#800080,77
sick,#00CED1,65
death,#6699CC,62
sad,#333333,67
safety,#608000,9
happy,#400080,13
sick,#CC9966,7
death,#00CED1,2
sick,#99CC66,71
justice,#CCCC66,67
justice,#FFD700,67
safety,#000000,0
justice,#000000,0
happy,#CCCC66,11
sick,#FF4500,70
justice,#999999,79
justice,#FF9999,17
peach,#0000CD,7
sick,#800080,70
peace,#804000,23
peace,#333333,9
sandstorm,#9966CC,11
tree,#808000,20
mango,#FFFF99,65
banana,#608000,63
sad,#66CCCC,31
safety,#9966CC,33
tree,#CCCC66,35
happy,#CC6666,36
sandstorm,#800080,20
peach,#9966CC,19
banana,#FFD700,81
angry,#008080,17
peace,#800080,20
peace,#00CED1,26
peach,#608000,21
sandstorm,#008080,11
death,#FFD700,71
banana,#004D00,34
peach,#C299FF,31
peach,#66CCCC,12
peace,#99FFFF,82
angry,#CC6666,65
safety,#666666,26
sandstorm,#FF4500,8
sick,#CCCC66,59
peach,#FFFF99,62
angry,#000000,18
sandstorm,#00CED1,1
mango,#CC9966,82
banana,#6699CC,0
banana,#99FF99,36
safety,#6699CC,74
angry,#6699CC,36
lightning,#DFFF99,73
angry,#CCCC66,32
sad,#004D00,74
sick,#FFFFFF,21
tree,#800000,31
peace,#000000,1
sad,#666666,74
banana,#CC9966,28
justice,#333333,24
tree,#004D00,63
sad,#400080,67
sandstorm,#CC9966,76
banana,#66CC66,62
death,#CC9966,17
happy,#99C2FF,61
death,#333333,95
peach,#FFD700,63
sick,#C299FF,56
peace,#FFD700,78
mango,#808000,13
lightning,#99FF99,7
peach,#800000,2
happy,#666666,5
peace,#6699CC,72
angry,#DC143C,75
sandstorm,#99CC66,32
angry,#400080,38
mango,#99C2FF,4
sad,#804000,23
lightning,#C299FF,61
peace,#800000,11
peach,#DFFF99,69
justice,#CC6666,63
mango,#666666,9
angry,#FFC299,22
sad,#999999,76
death,#DC143C,81
banana,#FF4500,18
banana,#FFC299,59
justice,#99FF99,76
banana,#228B22,66
sad,#9966CC,63
sad,#800000,29
peach,#333333,4
peach,#FFFFFF,2
safety,#CCCC66,66
angry,#99CC66,25
safety,#0000CD,69
happy,#999999,11
death,#608000,68
banana,#004080,13
banana,#000000,0
peach,#228B22,28
happy,#608000,34
banana,#CCCC66,72
lightning,#66CCCC,16
lightning,#666666,74
sick,#66CCCC,57
justice,#99FFFF,68
peach,#99FF99,32
mango,#66CC66,40
happy,#000000,4
mango,#000000,0
sandstorm,#99C2FF,0
tree,#FFC299,25
peace,#ADFF2F,57
justice,#DC143C,60
tree,#FFD700,31
peach,#804000,26
sad,#DC143C,33
peace,#0000CD,59
justice,#FFFF99,80
peach,#99FFFF,33
justice,#804000,44
sandstorm,#400080,28
sad,#66CC66,39
happy,#9966CC,73
lightning,#99C2FF,67
death,#DFFF99,41
happy,#DC143C,69
angry,#99C2FF,26
happy,#0000CD,60
mango,#DC143C,85
sandstorm,#004D00,28
angry,#004D00,55
death,#800000,83
banana,#400080,8
tree,#6699CC,23
sick,#808000,82
sick,#FF9999,63
happy,#99FFFF,71
death,#228B22,26
tree,#DFFF99,32
peach,#808000,32
sick,#CC6666,67
mango,#FF4500,68
mango,#800000,30
safety,#FFD700,73
lightning,#FF9999,19
justice,#808000,11
lightning,#400080,32
death,#FFC299,15
sick,#9966CC,73
death,#0000CD,29
sad,#008080,67
peace,#66CC66,69
lightning,#FF4500,30
peace,#99C2FF,73
mango,#ADFF2F,31
mango,#DFFF99,64
peach,#CC6666,64
happy,#99FF99,72
death,#CCCC66,33
safety,#CC6666,35
peach,#800080,25
sandstorm,#99FF99,22
safety,#800000,30
death,#800080,82
safety,#66CC66,66
sad,#FF9999,11
tree,#66CC66,73
mango,#FFFFFF,0
peace,#400080,57
peace,#DFFF99,39
banana,#C299FF,57
justice,#004080,63
angry,#0000CD,30
sandstorm,#CCCC66,87
death,#9966CC,61
sad,#00CED1,57
lightning,#FFFFFF,100
tree,#333333,0
angry,#FFFFFF,0
lightning,#004080,64
sandstorm,#FFD700,60
justice,#FFC299,66
safety,#ADFF2F,62
tree,#FF4500,33
safety,#99FFFF,60
peach,#FF4500,65
safety,#99C2FF,74
tree,#000000,0
tree,#66CCCC,39
sandstorm,#000000,0
lightning,#000000,85
sad,#FF4500,19
lightning,#804000,17
death,#008080,82
happy,#ADFF2F,73
banana,#66CCCC,17
tree,#CC9966,71
sick,#DC143C,35
safety,#999999,71
angry,#66CC66,36
mango,#99FFFF,0
death,#66CCCC,64
justice,#ADFF2F,68
sandstorm,#FFFFFF,0
lightning,#800000,19
sandstorm,#FFFF99,80
happy,#FF4500,70
angry,#FFD700,30
sick,#66CC66,68
happy,#66CC66,66
sandstorm,#333333,0
mango,#608000,15
peace,#FFFF99,80
sick,#999999,22
sandstorm,#C299FF,26
justice,#FFFFFF,100
peach,#00CED1,28
angry,#ADFF2F,42
death,#66CC66,42
peace,#666666,17
sad,#6699CC,73
tree,#99CC66,59
sandstorm,#66CCCC,30
justice,#66CCCC,81
peace,#C299FF,71
mango,#6699CC,35
tree,#9966CC,31
banana,#FF9999,59
angry,#66CCCC,41
sad,#228B22,30
banana,#008080,31
safety,#CC9966,58
happy,#FFFF99,80
mango,#99CC66,64
tree,#400080,25
peach,#CC9966,55
angry,#FF4500,71
lightning,#CCCC66,30
sick,#333333,24
justice,#99C2FF,75
happy,#228B22,73
mango,#9966CC,0
tree,#99FFFF,0
banana,#800000,0
death,#666666,100
sick,#800000,77
death,#99C2FF,64
sad,#ADFF2F,25
mango,#999999,0
safety,#99FF99,71
tree,#FFFF99,28
sick,#008080,55
death,#FF9999,34
lightning,#ADFF2F,36
sad,#99FF99,59
sandstorm,#0000CD,16
banana,#0000CD,11
angry,#004080,29
sad,#004080,92
sandstorm,#804000,60
mango,#66CCCC,29
sad,#FFD700,1
peace,#DC143C,58
peace,#004D00,26
peace,#9966CC,55
banana,#00CED1,29
peace,#CC6666,58
sick,#004080,24
banana,#99C2FF,28
death,#999999,100
safety,#800080,69
peace,#004080,36
angry,#DFFF99,29
justice,#99CC66,63
angry,#800000,84
tree,#999999,11
mango,#228B22,67
tree,#008080,21
peace,#99CC66,73
mango,#CC6666,61
sad,#CCCC66,28
