concept,color,rating
mango,#FF9999,77
happy,#ADFF2F,82
peace,#00CED1,100
safety,#C299FF,67
angry,#99FF99,0
safety,#FFC299,50
sad,#800000,50
happy,#FF9999,12
safety,#FFFF99,75
peace,#666666,100
sick,#804000,100
sandstorm,#FFFFFF,12
peace,#999999,53
peach,#004080,30
angry,#CC9966,100
justice,#FFD700,60
angry,#808000,70
happy,#FF4500,34
lightning,#0000CD,67
banana,#800000,80
death,#FFFF99,83
justice,#004080,84
death,#66CC66,83
happy,#800000,30
sick,#FFFF99,77
tree,#804000,79
safety,#FF9999,68
sad,#666666,77
happy,#FFD700,100
sandstorm,#66CCCC,31
sick,#CCCC66,100
peach,#0000CD,31
safety,#400080,68
safety,#CCCC66,71
sad,#FF9999,36
death,#C299FF,65
safety,#000000,35
tree,#99C2FF,91
tree,#004D00,71
peace,#C299FF,67
peach,#400080,32
sad,#99C2FF,69
angry,#99CC66,31
tree,#C299FF,69
peach,#008080,63
sick,#FFC299,73
lightning,#9966CC,35
peace,#228B22,70
tree,#66CC66,79
peace,#608000,22
sick,#800080,30
peace,#804000,67
tree,#999999,30
banana,#DFFF99,100
death,#0000CD,80
peach,#99FFFF,58
justice,#DFFF99,35
banana,#FFD700,67
sad,#99FF99,31
lightning,#FF4500,35
banana,#C299FF,30
sandstorm,#808000,33
banana,#608000,68
happy,#FFFF99,69
sad,#CC6666,43
happy,#C299FF,66
death,#000000,100
angry,#CCCC66,69
sick,#9966CC,75
banana,#66CCCC,72
peach,#FFFFFF,84
mango,#800000,42
happy,#008080,31
tree,#FFD700,34
lightning,#804000,75
banana,#800080,36
banana,#DC143C,29
sick,#ADFF2F,69
sad,#DC143C,74
lightning,#666666,84
angry,#DFFF99,39
lightning,#FF9999,72
angry,#008080,40
tree,#99FF99,62
tree,#FFC299,35
banana,#400080,67
sandstorm,#99CC66,28
peace,#FFFF99,36
peach,#66CC66,66
tree,#0000CD,29
tree,#800080,70
peace,#008080,71
mango,#99C2FF,30
angry,#66CC66,31
sad,#C299FF,31
sick,#99CC66,69
lightning,#FFC299,32
sandstorm,#228B22,29
sandstorm,#608000,39
tree,#808000,50
safety,#99CC66,62
tree,#666666,66
sick,#CC9966,66
mango,#99FF99,84
happy,#800080,28
lightning,#6699CC,36
sick,#66CC66,86
sad,#004D00,74
peach,#FFFF99,74
sick,#FF4500,39
sad,#FF4500,38
justice,#000000,100
banana,#FFFFFF,100
sandstorm,#FFC299,100
angry,#99C2FF,26
death,#DC143C,100
angry,#6699CC,42
mango,#00CED1,89
safety,#666666,36
peach,#DC143C,100
happy,#608000,34
angry,#00CED1,43
lightning,#99FF99,79
banana,#9966CC,20
justice,#00CED1,17
banana,#ADFF2F,82
justice,#800000,18
death,#333333,100
safety,#999999,25
angry,#CC6666,100
justice,#99FFFF,67
peach,#ADFF2F,70
angry,#66CCCC,0
angry,#DC143C,68
happy,#666666,36
angry,#FFD700,29
safety,#DC143C,31
sad,#804000,18
justice,#ADFF2F,75
sick,#6699CC,31
banana,#808000,75
sandstorm,#333333,50
safety,#608000,73
tree,#228B22,77
peace,#99FFFF,66
banana,#0000CD,74
death,#666666,100
angry,#FF4500,76
sandstorm,#800080,1
safety,#400080,17
peach,#0000CD,0
sad,#99FFFF,60
sad,#99CC66,35
tree,#99FF99,64
mango,#9966CC,0
mango,#66CCCC,0
sad,#DC143C,0
angry,#ADFF2F,0
happy,#800000,26
happy,#ADFF2F,61
peach,#608000,23
banana,#FFFF99,100
angry,#400080,38
death,#CC6666,50
peace,#99CC66,50
peace,#666666,50
justice,#004080,50
death,#66CC66,50
death,#FF9999,50
safety,#400080,50
lightning,#CCCC66,50
safety,#0000CD,50
justice,#FFFFFF,50
sad,#6699CC,50
safety,#99FF99,50
happy,#DC143C,50
justice,#ADFF2F,50
sick,#800080,50
banana,#ADFF2F,50
peace,#004080,50
death,#400080,50
mango,#CC9966,50
sick,#800000,50
happy,#FFD700,50
sick,#000000,50
mango,#ADFF2F,50
mango,#99FF99,50
lightning,#666666,50
sad,#800000,50
peace,#99C2FF,50
sad,#99C2FF,50
lightning,#FFFF99,50
justice,#608000,50
peach,#DFFF99,50
peace,#0000CD,50
banana,#66CC66,50
peace,#228B22,50
tree,#FF4500,50
safety,#C299FF,50
peace,#99FFFF,50
death,#004080,50
happy,#800080,50
safety,#004080,50
happy,#ADFF2F,50
death,#808000,86
happy,#CC6666,50
death,#6699CC,17
death,#800000,50
justice,#0000CD,50
safety,#FFC299,50
sad,#00CED1,50
banana,#608000,50
peace,#C299FF,50
banana,#FFFFFF,50
peach,#FF9999,50
sandstorm,#333333,50
sandstorm,#CCCC66,50
death,#FF4500,50
happy,#FF4500,50
justice,#66CCCC,50
sandstorm,#FFFFFF,50
lightning,#999999,50
peace,#FFFFFF,50
mango,#00CED1,50
mango,#FF9999,50
tree,#CC9966,50
sick,#228B22,50
angry,#CC9966,50
sick,#CC9966,50
justice,#6699CC,50
tree,#ADFF2F,50
sad,#008080,50
happy,#66CCCC,50
tree,#66CCCC,80
sad,#000000,50
sad,#333333,50
mango,#FFFF99,50
safety,#FF9999,50
peach,#FF4500,50
peach,#DC143C,50
tree,#808000,50
sad,#999999,50
death,#9966CC,50
peach,#66CCCC,50
angry,#333333,50
sick,#333333,50
peach,#CC6666,50
death,#FFFFFF,50
peace,#ADFF2F,50
peace,#FFFF99,50
sad,#0000CD,50
safety,#99CC66,50
sick,#608000,50
angry,#000000,50
safety,#00CED1,50
sandstorm,#00CED1,76
peace,#00CED1,50
banana,#C299FF,19
sick,#008080,50
peace,#66CC66,50
justice,#400080,50
happy,#C299FF,50
sick,#C299FF,50
death,#CC9966,15
sick,#99FF99,50
sandstorm,#FFC299,50
angry,#CC6666,50
mango,#C299FF,0
banana,#DFFF99,50
happy,#FFFF99,50
peace,#99FF99,50
happy,#FFFFFF,50
peace,#608000,79
lightning,#DFFF99,50
justice,#000000,50
safety,#FFFFFF,50
lightning,#FFFFFF,50
peace,#400080,50
justice,#FFD700,50
happy,#66CC66,50
justice,#800080,50
lightning,#000000,50
safety,#ADFF2F,50
peach,#FFD700,50
lightning,#ADFF2F,50
safety,#FFFF99,50
peace,#004D00,50
death,#CCCC66,50
sad,#004080,50
mango,#FFC299,50
safety,#DC143C,50
lightning,#66CCCC,50
sick,#00CED1,50
sandstorm,#CC6666,50
sick,#004D00,50
justice,#99FFFF,50
sick,#99C2FF,50
happy,#00CED1,50
happy,#004D00,50
peach,#999999,0
peace,#CC9966,0
peace,#228B22,0
angry,#99C2FF,0
mango,#6699CC,0
angry,#808000,0
justice,#CC9966,7
sandstorm,#000000,5
banana,#99C2FF,0
angry,#000000,30
peach,#008080,0
sad,#C299FF,38
death,#FFD700,0
tree,#FFC299,62
peace,#DC143C,0
peace,#FFC299,0
sad,#804000,7
justice,#999999,47
banana,#CC6666,0
happy,#99FF99,63
death,#99C2FF,0
justice,#400080,0
peace,#FF9999,27
lightning,#228B22,0
death,#DC143C,82
banana,#228B22,56
peace,#000000,0
death,#804000,71
sad,#DC143C,61
peach,#666666,0
safety,#66CC66,61
sandstorm,#004080,0
peach,#ADFF2F,0
tree,#FFD700,80
death,#0000CD,0
justice,#66CCCC,57
peach,#808000,65
peach,#99C2FF,0
mango,#000000,0
safety,#333333,6
banana,#808000,74
lightning,#004D00,2
tree,#FF4500,50
sandstorm,#CC6666,37
safety,#99FFFF,27
tree,#008080,7
sick,#00CED1,97
peach,#808000,0
happy,#800000,21
tree,#FF9999,76
sick,#CC6666,35
tree,#C299FF,5
sad,#800080,69
death,#FFC299,6
sick,#C299FF,3
sandstorm,#008080,0
safety,#FFD700,100
mango,#FFC299,9
peach,#804000,0
sandstorm,#666666,0
sad,#008080,100
happy,#99FFFF,93
safety,#004D00,10
angry,#804000,79
safety,#000000,0
sick,#99FFFF,93
angry,#000000,0
tree,#FFFF99,39
mango,#666666,3
happy,#CC9966,9
death,#FFFFFF,58
banana,#008080,6
lightning,#FFFFFF,100
sandstorm,#C299FF,0
sandstorm,#DC143C,1
