"concept","color","rating_count","mean","standard_deviation"
"sick","#FF4500",8,"32.38","32.32"
"justice","#804000",9,"19.00","23.22"
"lightning","#400080",10,"25.40","26.88"
"peach","#608000",9,"26.33","28.85"
"mango","#000000",10,"4.70","6.02"
"peace","#99FFFF",12,"54.08","31.55"
"peace","#CCCC66",5,"17.40","26.91"
"lightning","#C299FF",8,"46.75","29.93"
"sad","#DFFF99",8,"10.88","8.71"
"peach","#FFD700",11,"54.73","34.30"
"mango","#ADFF2F",8,"31.13","31.14"
"justice","#CC6666",9,"29.33","25.39"
"sick","#666666",8,"40.88","27.49"
"tree","#808000",9,"54.11","36.88"
"happy","#004D00",7,"32.14","37.54"
"sick","#608000",10,"62.10","33.71"
"peach","#FF4500",12,"28.17","30.81"
"death","#800000",10,"61.70","30.05"
"sad","#6699CC",8,"52.38","30.76"
"sick","#C299FF",12,"47.58","36.41"
"justice","#6699CC",9,"35.56","37.64"
"peace","#ADFF2F",7,"36.71","30.05"
"sick","#CC9966",14,"37.57","30.08"
"mango","#CC9966",9,"24.44","30.17"
"safety","#228B22",7,"63.57","32.72"
"angry","#999999",8,"19.75","29.77"
"happy","#DC143C",13,"49.54","31.90"
"happy","#CC6666",10,"36.90","31.46"
"banana","#FFFFFF",9,"35.44","36.40"
"death","#CC6666",8,"38.25","32.15"
"death","#9966CC",8,"30.13","32.51"
"mango","#99FF99",8,"42.38","36.29"
"safety","#CC6666",6,"27.33","19.14"
"angry","#FFD700",11,"13.91","17.46"
"death","#228B22",7,"19.71","23.16"
"banana","#ADFF2F",14,"40.86","33.77"
"happy","#66CCCC",4,"57.50","38.83"
"death","#333333",9,"94.78","9.58"
"angry","#004080",7,"12.43","13.07"
"peace","#228B22",9,"39.89","30.94"
"sandstorm","#800080",4,"7.00","9.20"
"peach","#6699CC",9,"17.78","29.13"
"mango","#004080",8,"3.50","6.14"
"death","#FF4500",8,"41.63","37.32"
"happy","#9966CC",8,"34.25","30.64"
"safety","#DC143C",12,"35.42","35.67"
"death","#FFFFFF",9,"35.22","35.75"
"angry","#C299FF",8,"17.38","19.00"
"peach","#C299FF",10,"17.30","23.59"
"lightning","#666666",12,"31.42","31.06"
"angry","#608000",6,"9.33","11.99"
"happy","#C299FF",6,"43.00","33.81"
"sandstorm","#CCCC66",7,"60.57","35.60"
"peach","#9966CC",9,"19.22","24.89"
"justice","#004D00",6,"58.50","35.80"
"safety","#9966CC",6,"24.83","20.51"
"happy","#333333",6,"8.83","7.99"
"lightning","#99C2FF",9,"47.00","30.30"
"banana","#FFD700",9,"92.11","11.50"
"sad","#DC143C",12,"18.08","25.14"
"sandstorm","#9966CC",6,"8.33","9.07"
"mango","#804000",9,"20.89","27.05"
"justice","#ADFF2F",10,"44.10","31.71"
"sandstorm","#333333",11,"30.36","33.77"
"death","#66CC66",6,"33.33","31.97"
"death","#99CC66",10,"11.70","10.77"
"peach","#FFFF99",8,"42.25","29.80"
"tree","#004080",10,"8.40","10.00"
"peach","#400080",10,"9.60","11.74"
"sick","#66CC66",7,"64.29","38.54"
"death","#CC9966",10,"45.30","32.70"
"banana","#CC9966",7,"29.57","28.27"
"peace","#99C2FF",8,"45.13","34.42"
"sick","#999999",6,"58.17","33.56"
"sick","#FF9999",6,"21.50","24.44"
"lightning","#0000CD",9,"31.22","29.52"
"angry","#FFFF99",10,"6.40","11.35"
"angry","#333333",7,"48.43","39.50"
"sick","#00CED1",8,"47.13","33.98"
"sick","#004080",7,"35.29","23.29"
"peach","#800080",8,"15.00","9.99"
"banana","#004080",7,"15.00","28.22"
"safety","#99FFFF",8,"38.13","32.80"
"banana","#400080",10,"10.10","20.26"
"angry","#FF9999",6,"10.67","13.50"
"angry","#6699CC",7,"24.71","15.92"
"sandstorm","#99FFFF",9,"9.67","12.01"
"mango","#66CC66",9,"17.78","24.96"
"banana","#CCCC66",6,"65.00","31.32"
"safety","#66CC66",8,"73.50","27.80"
"sad","#FFFFFF",4,"17.00","12.68"
"sad","#99FF99",8,"23.63","18.05"
"angry","#DFFF99",11,"19.45","13.65"
"justice","#FF9999",7,"6.14","7.86"
"sad","#999999",9,"61.22","30.62"
"death","#FFC299",9,"12.11","18.44"
"banana","#800000",10,"17.90","24.10"
"banana","#9966CC",8,"3.50","7.09"
"happy","#400080",8,"12.88","20.23"
"angry","#99FF99",9,"11.44","19.30"
"safety","#ADFF2F",7,"42.86","34.69"
"peach","#CC9966",8,"39.50","30.68"
"safety","#808000",6,"6.50","7.53"
"sick","#333333",9,"49.89","30.23"
"safety","#FFC299",7,"28.71","30.27"
"mango","#800000",10,"17.90","19.05"
"angry","#666666",7,"16.86","25.55"
